"","actor_id","first_name","last_name","last_update"
"1",1,"Penelope","Guiness",2013-05-26 14:47:57
"2",2,"Nick","Wahlberg",2013-05-26 14:47:57
"3",3,"Ed","Chase",2013-05-26 14:47:57
"4",4,"Jennifer","Davis",2013-05-26 14:47:57
"5",5,"Johnny","Lollobrigida",2013-05-26 14:47:57
"6",6,"Bette","Nicholson",2013-05-26 14:47:57
"7",7,"Grace","Mostel",2013-05-26 14:47:57
"8",8,"Matthew","Johansson",2013-05-26 14:47:57
"9",9,"Joe","Swank",2013-05-26 14:47:57
"10",10,"Christian","Gable",2013-05-26 14:47:57
"11",11,"Zero","Cage",2013-05-26 14:47:57
"12",12,"Karl","Berry",2013-05-26 14:47:57
"13",13,"Uma","Wood",2013-05-26 14:47:57
"14",14,"Vivien","Bergen",2013-05-26 14:47:57
"15",15,"Cuba","Olivier",2013-05-26 14:47:57
"16",16,"Fred","Costner",2013-05-26 14:47:57
"17",17,"Helen","Voight",2013-05-26 14:47:57
"18",18,"Dan","Torn",2013-05-26 14:47:57
"19",19,"Bob","Fawcett",2013-05-26 14:47:57
"20",20,"Lucille","Tracy",2013-05-26 14:47:57
"21",21,"Kirsten","Paltrow",2013-05-26 14:47:57
"22",22,"Elvis","Marx",2013-05-26 14:47:57
"23",23,"Sandra","Kilmer",2013-05-26 14:47:57
"24",24,"Cameron","Streep",2013-05-26 14:47:57
"25",25,"Kevin","Bloom",2013-05-26 14:47:57
"26",26,"Rip","Crawford",2013-05-26 14:47:57
"27",27,"Julia","Mcqueen",2013-05-26 14:47:57
"28",28,"Woody","Hoffman",2013-05-26 14:47:57
"29",29,"Alec","Wayne",2013-05-26 14:47:57
"30",30,"Sandra","Peck",2013-05-26 14:47:57
"31",31,"Sissy","Sobieski",2013-05-26 14:47:57
"32",32,"Tim","Hackman",2013-05-26 14:47:57
"33",33,"Milla","Peck",2013-05-26 14:47:57
"34",34,"Audrey","Olivier",2013-05-26 14:47:57
"35",35,"Judy","Dean",2013-05-26 14:47:57
"36",36,"Burt","Dukakis",2013-05-26 14:47:57
"37",37,"Val","Bolger",2013-05-26 14:47:57
"38",38,"Tom","Mckellen",2013-05-26 14:47:57
"39",39,"Goldie","Brody",2013-05-26 14:47:57
"40",40,"Johnny","Cage",2013-05-26 14:47:57
"41",41,"Jodie","Degeneres",2013-05-26 14:47:57
"42",42,"Tom","Miranda",2013-05-26 14:47:57
"43",43,"Kirk","Jovovich",2013-05-26 14:47:57
"44",44,"Nick","Stallone",2013-05-26 14:47:57
"45",45,"Reese","Kilmer",2013-05-26 14:47:57
"46",46,"Parker","Goldberg",2013-05-26 14:47:57
"47",47,"Julia","Barrymore",2013-05-26 14:47:57
"48",48,"Frances","Day-Lewis",2013-05-26 14:47:57
"49",49,"Anne","Cronyn",2013-05-26 14:47:57
"50",50,"Natalie","Hopkins",2013-05-26 14:47:57
"51",51,"Gary","Phoenix",2013-05-26 14:47:57
"52",52,"Carmen","Hunt",2013-05-26 14:47:57
"53",53,"Mena","Temple",2013-05-26 14:47:57
"54",54,"Penelope","Pinkett",2013-05-26 14:47:57
"55",55,"Fay","Kilmer",2013-05-26 14:47:57
"56",56,"Dan","Harris",2013-05-26 14:47:57
"57",57,"Jude","Cruise",2013-05-26 14:47:57
"58",58,"Christian","Akroyd",2013-05-26 14:47:57
"59",59,"Dustin","Tautou",2013-05-26 14:47:57
"60",60,"Henry","Berry",2013-05-26 14:47:57
"61",61,"Christian","Neeson",2013-05-26 14:47:57
"62",62,"Jayne","Neeson",2013-05-26 14:47:57
"63",63,"Cameron","Wray",2013-05-26 14:47:57
"64",64,"Ray","Johansson",2013-05-26 14:47:57
"65",65,"Angela","Hudson",2013-05-26 14:47:57
"66",66,"Mary","Tandy",2013-05-26 14:47:57
"67",67,"Jessica","Bailey",2013-05-26 14:47:57
"68",68,"Rip","Winslet",2013-05-26 14:47:57
"69",69,"Kenneth","Paltrow",2013-05-26 14:47:57
"70",70,"Michelle","Mcconaughey",2013-05-26 14:47:57
"71",71,"Adam","Grant",2013-05-26 14:47:57
"72",72,"Sean","Williams",2013-05-26 14:47:57
"73",73,"Gary","Penn",2013-05-26 14:47:57
"74",74,"Milla","Keitel",2013-05-26 14:47:57
"75",75,"Burt","Posey",2013-05-26 14:47:57
"76",76,"Angelina","Astaire",2013-05-26 14:47:57
"77",77,"Cary","Mcconaughey",2013-05-26 14:47:57
"78",78,"Groucho","Sinatra",2013-05-26 14:47:57
"79",79,"Mae","Hoffman",2013-05-26 14:47:57
"80",80,"Ralph","Cruz",2013-05-26 14:47:57
"81",81,"Scarlett","Damon",2013-05-26 14:47:57
"82",82,"Woody","Jolie",2013-05-26 14:47:57
"83",83,"Ben","Willis",2013-05-26 14:47:57
"84",84,"James","Pitt",2013-05-26 14:47:57
"85",85,"Minnie","Zellweger",2013-05-26 14:47:57
"86",143,"River","Dean",2013-05-26 14:47:57
"87",86,"Greg","Chaplin",2013-05-26 14:47:57
"88",87,"Spencer","Peck",2013-05-26 14:47:57
"89",88,"Kenneth","Pesci",2013-05-26 14:47:57
"90",89,"Charlize","Dench",2013-05-26 14:47:57
"91",90,"Sean","Guiness",2013-05-26 14:47:57
"92",91,"Christopher","Berry",2013-05-26 14:47:57
