"","customer_id","inventory_id","film_id"
"1",459,1525,333
"2",408,1711,373
"3",333,2452,535
"4",222,2079,450
"5",549,2792,613
"6",269,3995,870
"7",239,2346,510
"8",126,2580,565
"9",399,1824,396
"10",142,4443,971
"11",261,1584,347
"12",334,2294,499
"13",446,2701,593
"14",319,3049,670
"15",316,389,86
"16",575,830,181
"17",19,3376,741
"18",456,1941,422
"19",185,3517,770
"20",388,146,31
"21",509,727,159
"22",438,4441,971
"23",350,3273,721
"24",37,3961,863
"25",371,4371,953
"26",301,1225,271
"27",232,4068,887
"28",44,611,132
"29",430,3744,819
"30",369,4482,979
"31",230,3832,839
"32",272,1681,367
"33",597,2613,573
"34",484,1286,284
"35",88,1308,288
"36",535,403,89
"37",302,2540,557
"38",207,4466,976
"39",413,2638,579
"40",174,1761,382
"41",523,380,84
"42",532,2578,564
"43",207,3098,681
"44",436,1853,403
"45",7,3318,730
"46",35,2211,478
"47",282,1780,387
"48",498,2965,650
"49",18,1983,432
"50",256,1257,278
"51",507,4017,875
"52",569,1255,277
"53",291,2787,611
"54",131,1139,252
"55",511,1352,298
"56",6,3938,858
"57",323,3050,670
"58",408,2884,633
"59",470,330,73
"60",250,4210,915
"61",419,261,58
"62",383,4008,873
"63",368,79,16
"64",346,3552,776
"65",86,1162,257
"66",119,239,54
"67",120,4029,878
"68",305,3207,705
"69",73,2168,468
"70",100,2408,525
"71",48,2260,489
"72",391,517,114
"73",265,1744,379
"74",510,3393,745
"75",1,3021,663
"76",451,1303,287
"77",135,4067,887
"78",245,3299,726
"79",314,2478,543
"80",286,2610,572
"81",427,1388,304
"82",131,466,103
"83",492,1829,397
"84",414,470,103
"85",266,2275,491
"86",331,1586,348
"87",53,2221,480
"88",499,2181,471
"89",25,2984,654
"90",267,139,28
"91",302,775,169
"92",288,4360,951
"93",197,1675,366
"94",400,178,39
"95",49,3418,748
"96",263,1283,284
"97",269,2970,651
"98",44,535,117
"99",208,2599,571
"100",468,617,134
"101",343,373,82
"102",384,3343,735
"103",310,4281,932
"104",108,794,173
"105",196,3627,791
"106",317,2833,621
"107",242,3289,724
"108",503,1044,233
"109",19,4108,893
"110",227,3725,814
"111",500,2153,465
"112",93,2963,649
"113",506,4502,982
"114",455,749,164
"115",18,4453,973
"116",7,4278,931
"117",524,872,191
"118",51,1359,300
"119",365,37,8
"120",405,1053,234
"121",273,2908,638
"122",43,1795,390
"123",246,212,48
"124",368,952,212
"125",439,2047,445
"126",94,2026,440
"127",40,4322,941
"128",23,4154,902
"129",56,3990,869
"130",325,815,177
"131",479,3367,738
"132",237,399,89
"133",222,2272,491
"134",304,103,21
"135",504,2296,500
"136",560,2591,569
"137",586,4134,898
"138",257,327,73
"139",354,655,142
"140",89,811,176
"141",472,4407,963
"142",297,847,186
"143",357,1689,368
"144",82,3905,852
"145",433,1431,313
"146",274,633,138
"147",142,4252,924
"148",319,1084,242
"149",429,909,202
"150",14,2942,646
"151",57,2622,575
"152",348,3888,849
"153",185,1354,299
"154",551,288,65
"155",462,3193,702
"156",344,887,197
"157",354,2395,523
"158",505,3453,757
"159",290,1885,410
"160",182,2941,646
"161",296,1229,272
"162",104,2306,501
"163",151,1070,239
"164",33,2735,600
"165",322,3894,850
"166",401,865,190
"167",469,2714,595
"168",381,1758,382
"169",107,3688,806
"170",400,4483,979
"171",176,2873,630
"172",533,3596,786
"173",552,3954,862
"174",47,4346,947
"175",250,851,187
"176",548,3545,775
"177",196,1489,326
"178",19,2575,563
"179",75,2752,603
"180",587,2417,527
"181",237,4396,961
"182",254,2877,631
"183",556,1970,429
"184",125,2598,571
"185",468,1799,391
"186",515,4004,872
"187",243,3342,734
"188",247,984,219
"189",533,3962,863
"190",412,4365,951
"191",437,1897,413
"192",270,3900,851
"193",29,1337,295
"194",564,506,112
"195",184,190,43
"196",546,4212,915
"197",54,1789,388
"198",71,2135,462
"199",321,3926,856
"200",444,776,169
"201",20,674,147
"202",109,3374,740
"203",528,1842,401
"204",114,303,68
"205",345,1717,374
"206",47,102,21
"207",274,3669,803
"208",379,729,159
"209",391,1801,391
"210",170,4005,872
"211",59,764,167
"212",394,1505,329
"213",98,1453,319
"214",197,679,149
"215",91,1398,306
"216",121,4395,961
"217",309,2291,496
"218",489,3074,676
"219",542,1259,279
"220",143,3578,783
"221",83,2745,602
"222",460,3121,686
"223",318,4285,933
"224",467,651,141
"225",221,4181,911
"226",301,214,48
"227",571,511,113
"228",312,1131,251
"229",58,1085,242
"230",365,4032,878
"231",256,2945,646
"232",531,715,156
"233",566,1321,292
"234",119,3537,773
"235",446,1265,280
"236",536,241,54
"237",211,503,112
"238",49,131,26
"239",103,3420,749
"240",245,4438,970
"241",214,2095,454
"242",543,1721,375
"243",257,1041,232
"244",158,3045,668
"245",240,2829,621
"246",102,4095,892
"247",545,1913,416
"248",472,2428,530
"249",539,368,81
"250",204,4352,948
"251",187,1203,267
"252",416,2969,650
"253",390,1835,398
"254",114,3264,719
"255",436,3194,702
"256",373,2570,563
"257",502,3534,773
"258",482,30,6
"259",21,435,96
"260",414,1369,301
"261",236,4261,927
"262",449,1160,256
"263",251,2069,449
"264",303,2276,492
"265",263,3303,727
"266",417,1206,268
"267",75,1714,374
