"","film_id","title","language_id","rating","rental_rate"
"1",133,"Chamber Italian",1,"NC-17",4.99
"2",384,"Grosse Wonderful",1,"R",4.99
"3",8,"Airport Pollock",1,"R",4.99
"4",98,"Bright Encounters",1,"PG-13",4.99
"5",1,"Academy Dinosaur",1,"PG",0.99
"6",2,"Ace Goldfinger",1,"G",4.99
"7",3,"Adaptation Holes",1,"NC-17",2.99
"8",4,"Affair Prejudice",1,"G",2.99
"9",5,"African Egg",1,"G",2.99
"10",6,"Agent Truman",1,"PG",2.99
"11",7,"Airplane Sierra",1,"PG-13",4.99
"12",9,"Alabama Devil",1,"PG-13",2.99
"13",10,"Aladdin Calendar",1,"NC-17",4.99
"14",11,"Alamo Videotape",1,"G",0.99
"15",12,"Alaska Phantom",1,"PG",0.99
"16",213,"Date Speed",1,"R",0.99
"17",13,"Ali Forever",1,"PG",4.99
"18",14,"Alice Fantasia",1,"NC-17",0.99
"19",15,"Alien Center",1,"NC-17",2.99
"20",16,"Alley Evolution",1,"NC-17",2.99
"21",17,"Alone Trip",1,"R",0.99
"22",18,"Alter Victory",1,"PG-13",0.99
"23",19,"Amadeus Holy",1,"PG",0.99
"24",20,"Amelie Hellfighters",1,"R",4.99
"25",21,"American Circus",1,"R",4.99
"26",22,"Amistad Midsummer",1,"G",2.99
"27",23,"Anaconda Confessions",1,"R",0.99
"28",24,"Analyze Hoosiers",1,"R",2.99
"29",25,"Angels Life",1,"G",2.99
"30",26,"Annie Identity",1,"G",0.99
"31",27,"Anonymous Human",1,"NC-17",0.99
"32",28,"Anthem Luke",1,"PG-13",4.99
"33",29,"Antitrust Tomatoes",1,"NC-17",2.99
"34",30,"Anything Savannah",1,"R",2.99
"35",31,"Apache Divine",1,"NC-17",4.99
"36",32,"Apocalypse Flamingos",1,"R",4.99
"37",33,"Apollo Teen",1,"PG-13",2.99
"38",34,"Arabia Dogma",1,"NC-17",0.99
"39",35,"Arachnophobia Rollercoaster",1,"PG-13",2.99
"40",36,"Argonauts Town",1,"PG-13",0.99
"41",37,"Arizona Bang",1,"PG",2.99
"42",38,"Ark Ridgemont",1,"NC-17",0.99
"43",39,"Armageddon Lost",1,"G",0.99
"44",40,"Army Flintstones",1,"R",0.99
"45",41,"Arsenic Independence",1,"PG",0.99
"46",42,"Artist Coldblooded",1,"NC-17",2.99
"47",265,"Dying Maker",1,"PG",4.99
"48",43,"Atlantis Cause",1,"G",2.99
"49",44,"Attacks Hate",1,"PG-13",4.99
"50",45,"Attraction Newton",1,"PG-13",4.99
"51",46,"Autumn Crow",1,"G",4.99
"52",47,"Baby Hall",1,"NC-17",4.99
"53",48,"Backlash Undefeated",1,"PG-13",4.99
"54",49,"Badman Dawn",1,"R",2.99
"55",50,"Baked Cleopatra",1,"G",2.99
"56",126,"Casualties Encino",1,"G",4.99
"57",51,"Balloon Homeward",1,"NC-17",2.99
"58",52,"Ballroom Mockingbird",1,"G",0.99
"59",53,"Bang Kwai",1,"NC-17",2.99
"60",54,"Banger Pinocchio",1,"R",0.99
"61",55,"Barbarella Streetcar",1,"G",2.99
"62",56,"Barefoot Manchurian",1,"G",2.99
"63",57,"Basic Easy",1,"PG-13",2.99
"64",58,"Beach Heartbreakers",1,"G",2.99
"65",59,"Bear Graceland",1,"R",2.99
"66",60,"Beast Hunchback",1,"R",4.99
"67",61,"Beauty Grease",1,"G",4.99
"68",62,"Bed Highball",1,"NC-17",2.99
"69",63,"Bedazzled Married",1,"PG",0.99
"70",64,"Beethoven Exorcist",1,"PG-13",0.99
"71",65,"Behavior Runaway",1,"PG",4.99
"72",66,"Beneath Rush",1,"NC-17",0.99
"73",67,"Berets Agent",1,"PG-13",2.99
"74",68,"Betrayed Rear",1,"NC-17",4.99
"75",69,"Beverly Outlaw",1,"R",2.99
"76",70,"Bikini Borrowers",1,"NC-17",4.99
"77",71,"Bilko Anonymous",1,"PG-13",4.99
"78",72,"Bill Others",1,"PG",2.99
"79",73,"Bingo Talented",1,"PG-13",2.99
"80",74,"Birch Antitrust",1,"PG",4.99
"81",75,"Bird Independence",1,"G",4.99
"82",76,"Birdcage Casper",1,"NC-17",0.99
"83",77,"Birds Perdition",1,"G",4.99
"84",78,"Blackout Private",1,"PG",2.99
"85",79,"Blade Polish",1,"PG-13",0.99
"86",80,"Blanket Beverly",1,"G",2.99
"87",81,"Blindness Gun",1,"PG-13",4.99
"88",82,"Blood Argonauts",1,"G",0.99
"89",83,"Blues Instinct",1,"G",2.99
"90",84,"Boiled Dares",1,"PG",4.99
"91",85,"Bonnie Holocaust",1,"G",0.99
"92",86,"Boogie Amelie",1,"R",4.99
"93",87,"Boondock Ballroom",1,"NC-17",0.99
"94",88,"Born Spinal",1,"PG",4.99
"95",89,"Borrowers Bedazzled",1,"G",0.99
"96",90,"Boulevard Mob",1,"R",0.99
"97",91,"Bound Cheaper",1,"PG",0.99
"98",92,"Bowfinger Gables",1,"NC-17",4.99
"99",93,"Brannigan Sunrise",1,"PG",4.99
"100",94,"Braveheart Human",1,"PG-13",2.99
"101",95,"Breakfast Goldfinger",1,"G",4.99
"102",96,"Breaking Home",1,"PG-13",2.99
"103",97,"Bride Intrigue",1,"G",0.99
"104",99,"Bringing Hysterical",1,"PG",2.99
"105",100,"Brooklyn Desert",1,"R",4.99
"106",101,"Brotherhood Blanket",1,"R",0.99
"107",102,"Bubble Grosse",1,"R",4.99
"108",103,"Bucket Brotherhood",1,"PG",4.99
"109",104,"Bugsy Song",1,"G",2.99
"110",105,"Bull Shawshank",1,"NC-17",0.99
"111",106,"Bulworth Commandments",1,"G",2.99
"112",107,"Bunch Minds",1,"G",2.99
"113",108,"Butch Panther",1,"PG-13",0.99
